0	1	2	3	4	5	6
ISO	8536-5 Second edition 2004-02-01	6-122	Infusion equipment for medical use - Part 5: Burette infusion sets for single use gravity feed	2013-01-15	General Plastic Surgery/General Hospital	
ISO	8536-6 Third edition 2016-12-01	6-410	Infusion equipment for medical use - Part 6: Freeze drying closures for infusion bottles	2019-01-14	General Plastic Surgery/General Hospital	
ISO	8536-7 Third edition 2009-01-15	6-216	Infusion equipment for medical use - Part 7: Caps made of aluminum-plastics combinations for infusion bottles	2013-08-06	General Plastic Surgery/General Hospital	
ISO	8536-8 Second Edition 2015-06-15	6-358	Infusion Equipment for Medical Use - Part 8: Infusion Sets for Single Use with Pressure Infusion Apparatus	2016-04-04	General Plastic Surgery/General Hospital	
ISO	8536-9 Second Edition 2015-06-15	6-359	Infusion Equipment for Medical Use - Part 9: Fluid Lines for Single Use with Pressure Infusion Equipment	2016-04-04	General Plastic Surgery/General Hospital	
ISO	10555-6 First edition 2015-04-15	6-357	Intravascular catheters - Sterile and single-use catheters - Part 6: Subcutaneous implanted ports	2016-04-04	General Plastic Surgery/General Hospital	
ISO	10555-1 Second edition 2013-06-15	6-408	Intravascular catheters - Sterile and single-use intravascular catheters - Part 1: General requirements [Including AMENDMENT 1 (2017)]	2018-09-17	General Plastic Surgery/General Hospital	
ISO	10555-3 Second edition 2013-06-15	6-305	Intravascular catheters -- Sterile and single-use catheters -- Part 3: Central venous catheters	2014-01-30	General Plastic Surgery/General Hospital	
ISO	10555-4 Second edition 2013-06-15	6-322	Intravascular catheters -- Sterile and single-use catheters -- Part 4: Balloon dilatation catheters	2014-01-30	General Plastic Surgery/General Hospital	
ISO	10555-5 Second edition 2013-06-15	6-303	Intravascular catheters -- Sterile and single-use catheters -- Part 5: Over-needle peripheral catheters	2014-01-30	General Plastic Surgery/General Hospital	
ISO	11810 Second edition 2015-12-15	6-363	Lasers and laser-related equipment - Test method and classification for the laser-resistance of surgical drapes and/or patient-protective covers - Primary ignition penetration flame spread and secondary ignition	2016-06-27	General Plastic Surgery/General Hospital	
ANSI AAMI	PB70:2012	6-296	Liquid barrier performance and classification of protective apparel and drapes intended for use in health care facilities	2013-08-06	General Plastic Surgery/General Hospital	
AAMI	TIR38:2019	6-422	Medical device safety assurance case guidance	2019-07-15	General Plastic Surgery/General Hospital	
IEC	60601-2-2 Edition 6.0 2017-03	6-389	Medical electrical equipment - Part 2-2: Particular requirements for the basic safety and essential performance of high frequency surgical equipment and high frequency surgical accessories	2017-08-21	General Plastic Surgery/General Hospital	
IEC	60601-2-50 Edition 3.0 2020-09	6-450	Medical electrical equipment - Part 2-50: Particular requirements for the basic safety and essential performance of infant phototherapy equipment	2020-12-21	General Plastic Surgery/General Hospital	
IEC	60601-2-52 Edition 1.0 2009-12	6-321	Medical electrical equipment - Part 2-52: Particular requirements for basic safety and essential performance of medical beds [Including: Technical Corrigendum 1 (2010)]	2014-01-30	General Plastic Surgery/General Hospital	
ISO	80601-2-56 Second edition 2017-03	6-421	Medical electrical equipment - Part 2-56: Particular requirements for basic safety and essential performance of clinical thermometers for body temperature measurement. [Including: Amendment 1 (2018)].	2019-07-15	General Plastic Surgery/General Hospital	
IEC	80601-2-59 Edition 2.0 2017-09	6-405	Medical electrical equipment - Part 2-59: Particular requirements for the basic safety and essential performance of screening thermographs for human febrile temperature screening	2018-06-07	General Plastic Surgery/General Hospital	
IEC	80601-2-77 Edition 1.0 2019-07	6-438	Medical electrical equipment - Part 2-77: Particular requirements for the BASIC SAFETY and essential performance of ROBOTICALLY ASSISTED SURGICAL EQUIPMENT	2019-12-23	General Plastic Surgery/General Hospital	
ISO	11608-3 Second edition 2012-10-01	6-294	Needle based injection systems for medical use - Requirements and test methods - Part 3: Finished containers	2013-08-06	General Plastic Surgery/General Hospital	
ISO	11608-1 Third edition 2014-12-15	6-341	Needle-based injection systems for medical use - Requirements and test methods - Part 1: Needle-based injection systems	2015-08-14	General Plastic Surgery/General Hospital	
ISO	11608-2 Second edition 2012-04-01	6-275	Needle-based injection systems for medical use - Requirements and test methods - Part 2: Needles	2013-08-06	General Plastic Surgery/General Hospital	
ISO	11608-5 First edition 2012-10-01	6-377	Needle-based injection systems for medical use - Requirements and test methods - Part 5: Automated function.	2016-06-27	General Plastic Surgery/General Hospital	
ISO	11608-7 First edition 2016-08-01	6-382	Needle-based injection systems for medical use - Requirements and test methods - Part 7: Accessibility for persons with visual impairment	2016-09-21	General Plastic Surgery/General Hospital	
ISO	21649 First edition 2006-06-01	6-179	Needle-free injectors for medical use -- Requirements and test methods	2013-08-06	General Plastic Surgery/General Hospital	
USP	43-NF38:2020	6-453	Nonabsorbable Surgical Suture	2020-12-21	General Plastic Surgery/General Hospital	
ISO	11608-4 First edtion 2006-03-15	6-174	Pen-injectors for medical use -- Part 4: Requirements and test methods for electronic and electromechanical pen-injectors	2013-08-06	General Plastic Surgery/General Hospital	
ISO	11040-4 Third edition 2015-04-01	6-365	Prefilled syringes - Part 4: Glass barrels for injectables	2016-06-27	General Plastic Surgery/General Hospital	
ISO	11040-5 Third edition 2012-02-15	6-278	Prefilled syringes - Part 5: Plunger stoppers for injectables	2012-08-20	General Plastic Surgery/General Hospital	
ISO	23907-2 First edition 2019-11	6-437	Sharps injury protection - Requirements and test methods - Part 2: Reusable sharps containers.	2019-12-23	General Plastic Surgery/General Hospital	
ISO	23907-1 First edition 2019-01	6-426	Sharps injury protection - Requirements and test methods - Sharps containers	2019-12-23	General Plastic Surgery/General Hospital	
ISO	23908 First edition 2011-06-11	6-273	Sharps injury protection - Requirements and test methods - Sharps protection features for single-use hypodermic needles introducers for catheters and needles used for blood sampling	2014-01-30	General Plastic Surgery/General Hospital	
USP	43-NF38:2020	6-452	Sodium Chloride Injection	2020-12-21	General Plastic Surgery/General Hospital	
USP	43-NF38:2020	6-451	Sodium Chloride Irrigation	2020-12-21	General Plastic Surgery/General Hospital	
ISO	9626 Second edition 2016-08-01	6-380	Stainless steel needle tubing for the manufacture of medical devices - Requirements and test methods	2016-09-21	General Plastic Surgery/General Hospital	
ASTM	F2710-13	6-340	Standard Consumer Safety Performance Specification for Commerical Cribs	2015-01-27	General Plastic Surgery/General Hospital	
ASTM	F1169-19	6-449	Standard Consumer Safety Specification for Full-Size Baby Cribs	2020-12-21	General Plastic Surgery/General Hospital	
ASTM	F1169-13	6-339	Standard Consumer Safety Specification for Full-Size Baby Cribs	2015-01-27	General Plastic Surgery/General Hospital	
ASTM	D7103-19	6-444	Standard Guide for Assessment of Medical Gloves	2020-07-06	General Plastic Surgery/General Hospital	
ASTM	D7103-06 (Reapproved 2013)	6-176	Standard Guide for Assessment of Medical Gloves	2014-01-30	General Plastic Surgery/General Hospital	
ASTM	D6978-05 (Reapproved 2019)	6-147	Standard Practice for Assessment of Resistance of Medical Gloves to Permeation by Chemotherapy Drugs	2013-08-06	General Plastic Surgery/General Hospital	
ASTM	D7160-16	6-401	Standard Practice for Determination of Expiration Dating for Medical Gloves	2018-06-07	General Plastic Surgery/General Hospital	
ASTM	F3186-17	6-407	Standard Specification for Adult Portable Bed Rails and Related Products	2018-06-07	General Plastic Surgery/General Hospital	
ASTM	F2172-02 (Reapproved 2011)	6-117	Standard Specification for Blood/Intravenous Fluid/Irrigation Fluid Warmers	2014-01-30	General Plastic Surgery/General Hospital	
ASTM	E1104-98 (Reapproved 2016)	6-124	Standard Specification for Clinical Thermometer Probe Covers and Sheaths	2017-08-21	General Plastic Surgery/General Hospital	
ASTM	E1061-01 (Reapproved 2014)	6-200	Standard Specification for Direct-Reading Liquid Crystal Forehead Thermometers	2015-08-14	General Plastic Surgery/General Hospital	
ASTM	E1112-00 (Reapproved 2011)	6-177	Standard Specification for Electronic Thermometer for Intermittent Determination of Patient Temperature	2012-03-16	General Plastic Surgery/General Hospital	
ASTM	F703-18	6-409	Standard Specification for Implantable Breast Prostheses	2018-09-17	General Plastic Surgery/General Hospital	
ASTM	F2051-00 (Reapproved 2014)	6-353	Standard Specification for Implantable Saline Filled Breast Prosthesis	2015-08-14	General Plastic Surgery/General Hospital	
ASTM	D3772-15	6-355	Standard Specification for Industrial Rubber Finger Cots	2016-04-04	General Plastic Surgery/General Hospital	
ASTM	E1965-98 (Reapproved 2016)	6-125	Standard Specification for Infrared Thermometers for Intermittent Determination of Patient Temperature	2017-08-21	General Plastic Surgery/General Hospital	
ASTM	E667-98 (Reapproved 2017)	6-123	Standard Specification for Mercury-in-Glass Maximum Self-Registering Clinical Thermometers	2018-09-17	General Plastic Surgery/General Hospital	
ASTM	D6319-19	6-446	Standard Specification for Nitrile Examination Gloves for Medical Application	2020-07-06	General Plastic Surgery/General Hospital	
ASTM	D6319-10 (Reapproved 2015)	6-244	Standard Specification for Nitrile Examination Gloves for Medical Application	2016-06-27	General Plastic Surgery/General Hospital	
ASTM	F2100-19	6-425	Standard Specification for Performance of Materials Used in Medical Face Masks	2019-12-23	General Plastic Surgery/General Hospital	
ASTM	E825-98 (Reapproved 2016)	6-70	Standard Specification for Phase Change-Type Disposable Fever Thermometer for Intermittent Determination of Human Temperature	2017-08-21	General Plastic Surgery/General Hospital	
ASTM	D5250-19	6-445	Standard Specification for Poly(vinyl chloride) Gloves for Medical Application	2020-07-06	General Plastic Surgery/General Hospital	
ASTM	D5250-06 (Reapproved 2015)	6-183	Standard Specification for Poly(vinyl chloride) Gloves for Medical Application	2016-06-27	General Plastic Surgery/General Hospital	
ASTM	D6977-19	6-442	Standard Specification for Polychloroprene Examination Gloves for Medical Application	2020-07-06	General Plastic Surgery/General Hospital	
ASTM	D6977-04 (Reapproved 2016)	6-165	Standard Specification for Polychloroprene Examination Gloves for Medical Application	2016-12-23	General Plastic Surgery/General Hospital	
ASTM	F2132 -01 (Reapproved 2008)e1	6-215	Standard Specification for Puncture Resistance of Materials Used in Containers for Discarded Medical Needles and Other Sharps	2009-03-18	General Plastic Surgery/General Hospital	
ASTM	D7866-14	6-338	Standard Specification for Radiation Attenuating Protective Gloves	2019-01-14	General Plastic Surgery/General Hospital	
ASTM	D3578-19	6-440	Standard Specification for Rubber Examination Gloves	2020-07-06	General Plastic Surgery/General Hospital	
ASTM	D3578-05 (Reapproved 2015)	6-145	Standard Specification for Rubber Examination Gloves	2016-06-27	General Plastic Surgery/General Hospital	
ASTM	D3577-19	6-443	Standard Specification for Rubber Surgical Gloves	2020-07-06	General Plastic Surgery/General Hospital	
ASTM	D3577-09 (Reapproved 2015)	6-168	Standard Specification for Rubber Surgical Gloves	2016-06-27	General Plastic Surgery/General Hospital	
ASTM	F881-94 (Reapproved 2014)	6-185	Standard Specification for Silicone Elastomer Facial Implants	2015-08-14	General Plastic Surgery/General Hospital	
ASTM	F1441-03 (Reapproved 2014)	6-110	Standard Specification for Soft-Tissue Expander Devices	2015-08-14	General Plastic Surgery/General Hospital	
ASTM	F2062-00 (Reapproved 2018)	6-272	Standard Specification for Square Drive Interconnections on Surgical Instruments	2012-03-16	General Plastic Surgery/General Hospital	
ASTM	F2407-20	6-448	Standard Specification for Surgical Gowns Intended for Use in Healthcare Facilities	2020-12-21	General Plastic Surgery/General Hospital	
ASTM	F2407-06 (Reapproved 2013)	6-180	Standard Specification for Surgical Gowns Intended for Use in Healthcare Facilities	2014-07-09	General Plastic Surgery/General Hospital	
ASTM	F1078-10 (Reapproved 2018)	6-269	Standard Terminology for Surgical Scissors-Inserted and Non-Inserted Blades	2012-03-16	General Plastic Surgery/General Hospital	
ASTM	F1840-10 (Reapproved 2016)	6-270	Standard Terminology for Surgical Suture Needles	2018-06-07	General Plastic Surgery/General Hospital	
ASTM	F921-10 (Reapproved 2018)	6-268	Standard Terminology Relating to Hemostatic Forceps	2012-03-16	General Plastic Surgery/General Hospital	
ASTM	D5712-15	6-356	Standard Test Method for Analysis of Aqueous Extractable Protein in Natural Rubber in Latex Natural Rubber and Elastomeric Products Using the Modified Lowry Method	2016-04-04	General Plastic Surgery/General Hospital	
ASTM	F1874-98 (Reapproved 2011)	6-271	Standard Test Method for Bend Testing of Needles Used in Surgical Sutures	2012-03-16	General Plastic Surgery/General Hospital	
ASTM	F3212-16	6-400	Standard Test Method for Coring Testing of Huber Needles	2017-08-21	General Plastic Surgery/General Hospital	
ASTM	D5151-19	6-424	Standard Test Method for Detection of Holes in Medical Gloves	2019-12-23	General Plastic Surgery/General Hospital	
ASTM	F2101-19	6-427	Standard Test Method for Evaluating the Bacterial Filtration Efficiency (BFE) of Medical Face Mask Materials Using a Biological Aerosol of Staphylococcus aureus	2019-12-23	General Plastic Surgery/General Hospital	
ASTM	D6355-07 (Reapproved 2017)	6-214	Standard Test Method for Human Repeat Insult Patch Testing of Medical Gloves	2018-06-07	General Plastic Surgery/General Hospital	
ASTM	D6499-18	6-411	Standard Test Method for Immunological Measurement of Antigenic Protein in Hevea Natural Rubber (HNR) and its Products	2019-01-14	General Plastic Surgery/General Hospital	
ASTM	D6124-06 (Reapproved 2017)	6-178	Standard Test Method for Residual Powder on Medical Gloves	2020-07-06	General Plastic Surgery/General Hospital	
ASTM	F1671/F1671M-13	6-306	Standard Test Method for Resistance of Materials Used in Protective Clothing to Penetration by Blood-Borne Pathogens Using Phi-X174 Bacteriophage Penetration as a Test System	2014-01-30	General Plastic Surgery/General Hospital	
ASTM	F1670/F1670M-17	6-402	Standard Test Method for Resistance of Materials Used in Protective Clothing to Penetration by Synthetic Blood	2018-06-07	General Plastic Surgery/General Hospital	
ASTM	F1862/F1862M-17	6-406	Standard Test Method for Resistance of Medical Face Masks to Penetration by Synthetic Blood (Horizontal Projection of Fixed Volume at a Known Velocity)	2018-06-07	General Plastic Surgery/General Hospital	
ASTM	D7907-14 (Reapproved 2019)	6-354	Standard Test Methods for Determination of Bactericidal Efficacy on the Surface of Medical Examination Gloves	2015-08-14	General Plastic Surgery/General Hospital	
ISO	7864 Fourth edition 2016-08-01	6-379	Sterile hypodermic needles for single use - Requirements and test methods	2016-09-21	General Plastic Surgery/General Hospital	
ISO	7886-1 Second edition 2017-05	6-404	Sterile hypodermic syringes for single use - Part 1: Syringes for manual use	2018-06-07	General Plastic Surgery/General Hospital	
ISO	7886-2 First edition 1996-05-15	6-68	Sterile hypodermic syringes for single use - Part 2: Syringes for use with power-driven syringe pumps	2005-11-08	General Plastic Surgery/General Hospital	
ISO	7886-2 Second edition 2020-04	6-439	Sterile hypodermic syringes for single use - Part 2: Syringes for use with power-driven syringe pumps	2020-07-06	General Plastic Surgery/General Hospital	
ISO	7886-3 Second edition 2020-05	6-441	Sterile hypodermic syringes for single use - Part 3: Auto-disabled syringes for fixed-dose immunization	2020-07-06	General Plastic Surgery/General Hospital	
ISO	7886-3 First edition 2005-03-01	6-148	Sterile hypodermic syringes for single use -- Part 3: Auto-disable syringes for fixed-dose immunization	2013-01-15	General Plastic Surgery/General Hospital	
ISO	8537 Third edition 2016-03-15	6-364	Sterile single-use syringes with or without needle for insulin	2016-06-27	General Plastic Surgery/General Hospital	
USP	43-NF38:2020	6-457	Sterile Water for Irrigation	2020-12-21	General Plastic Surgery/General Hospital	
ISO	1135-4 Sixth edition 2015-12-01	6-384	Transfusion equipment for medical use-Part 4: Transfusion sets for single use gravity feed	2017-08-21	General Plastic Surgery/General Hospital	
CLSI	C39-A (Replaces C39-P)	7-89	A Designated Comparison Method for the Measurement of Ionized Calcium in Serum; Approved Standard	2004-03-08	InVitro Diagnostics	
CLSI	EP19 2nd Edition (Replaces EP19-R)	7-266	A Framework for Using CLSI Documents to Evaluate Clinical Laboratory Measurement Procedures	2016-09-21	InVitro Diagnostics	
CLSI	QMS01 5th ed. June 2019 (Replaces QMS01-A4)	7-293	A Quality Management System Model for Laboratory Services.	2019-12-23	InVitro Diagnostics	
CLSI	M35-A2 (Replaces M35-A)	7-197	Abbreviated Identification of Bacteria and Yeast; Approved Guideline - Second Edition.	2012-08-20	InVitro Diagnostics	
CLSI	I/LA-20 3rd Edition (Replaces I/LA20-A3)	7-270	Analytical Performance Characteristics Quality Assurance and Clinical Utility of Immunological Assays for Human Immunoglobulin E Antibodies of Defined Allergen Specificities	2017-08-21	InVitro Diagnostics	
CLSI	C59-A	7-175	Apoplipoprotein Immunoassays: Development and Recommended Performance Characteristics; Approved Guideline	2014-07-09	InVitro Diagnostics	
CLSI	H51-A	7-101	Assays of vonWillebrand Factor Antigen and Ristocetin Cofactor Activity; Approved Guideline.	2009-09-08	InVitro Diagnostics	
CLSI	I/LA23-A (Replaces I/LA23-P)	7-113	Assessing the Quality of Immunoassay Systems: Radioimmunoassays and Enzyme Fluorescence and Luminescence Immunoassays; Approved Guideline	2005-11-08	InVitro Diagnostics	
CLSI	EP35 1st Edition	7-298	Assessment of Equivalence or Suitability of Specimen Types for Medical Laboratory Measurement Procedures	2020-07-06	InVitro Diagnostics	
CLSI	EP24-A2 (Replaces GP 10-A)	7-234	Assessment of the Diagnostic Accuracy of Laboratory Tests Using Receiver Operating Characteristic Curves; Approved Guideline - Second Edition	2013-08-06	InVitro Diagnostics	
CLSI	C60-A	7-48	Blood Alcohol Testing in the Clinical Laboratory; Approved Guideline	2014-07-09	InVitro Diagnostics	
CLSI	NBS01-A6 (Replaces LA04-A5)	7-244	Blood Collection on Filter Paper for Newborn Screening Programs: Approved Standard - Sixth Edition	2014-01-30	InVitro Diagnostics	
CLSI	H56-A (Replaces H56-P)	7-163	Body Fluid Analysis for Cellular Composition; Approved Guideline.	2008-09-09	InVitro Diagnostics	
CLSI	I/LA21-A2	7-170	Clinical Evaluation of Immunoassays; Approved Guideline - Second Edition	2009-03-18	InVitro Diagnostics	
CLSI	H43-A2	7-150	Clinical Flow Cytometry Analysis of Neoplastic Hematolymphoid Cells; Approved Guideline - Second Edition	2012-03-16	InVitro Diagnostics	
CLSI	M36-A	7-182	Clinical Use and Interpretation of Serologic Tests for Toxoplasma gondii; Approved Guideline.	2009-03-18	InVitro Diagnostics	
CLSI	GP42 7th Edition	7-301	Collection of Capillary Blood Specimens	2020-12-21	InVitro Diagnostics	
CLSI	GP41 7th Edition	7-277	Collection of Diagnostic Venous Blood Specimens	2018-09-17	InVitro Diagnostics	
CLSI	H21-A5	7-159	Collection Transport and Processing of Blood Specimens for Testing Plasma-Based Coagulation Assays and Molecular Hemostasis Assays	2008-09-09	InVitro Diagnostics	
CLSI	MM13 2nd Edition	7-300	Collection Transport Preparation and Storage of Specimens for Molecular Methods	2020-12-21	InVitro Diagnostics	
CLSI	M53-A (Replaces M53-P)	7-227	Criteria for Laboratory Testing and Diagnosis of Human Immunodeficiency Virus Infection; Approved Guideline	2012-03-16	InVitro Diagnostics	
CLSI	EP28-A3c (Formerly C28-A3c)	7-224	Defining Establishing and Verifying Reference Intervals in the Clinical Laboratory; Approved Guideline - Third Edition	2014-01-30	InVitro Diagnostics	
CLSI	M23 5th Edition	7-304	Development of In Vitro Susceptibility Testing Criteria and Quality Control Parameters	2020-12-21	InVitro Diagnostics	
CLSI	H42-A2 (Replaces H42-A)	7-145	Enumeration of Immunologically Defined Cell Populations by Flow Cytometry; Approved Guideline - Second Edition.	2009-03-18	InVitro Diagnostics	
CLSI	C42-A	7-21	Erythrocyte Protoporphyrin Testing; Approved Guideline	2008-09-09	InVitro Diagnostics	
CLSI	POCT04 3rd Edition	7-283	Essential Tools for Implementation and Management of a Point-of-Care Testing Program	2018-09-17	InVitro Diagnostics	
CLSI	EP34 1st Edition	7-290	Establishing and Verifying an Extended Measuring Interval Through Specimen Dilution and Spiking	2019-07-15	InVitro Diagnostics	
CLSI	EP14-A3	7-252	Evaluation of Commutability of Processed Samples; Approved Guideline - Third Edition	2015-08-14	InVitro Diagnostics	
CLSI	EP17-A2	7-233	Evaluation of Detection Capability for Clinical Laboratory Measurement Procedures; Approved Guideline - Second Edition	2013-01-15	InVitro Diagnostics	
CLSI	EP05-A3	7-251	Evaluation of Precision of Quantitative Measurement Procedures; Approved Guideline - Third Edition	2015-08-14	InVitro Diagnostics	
CLSI	EP25-A (Replaces EP25-P)	7-235	Evaluation of Stability of In Vitro Diagnostic Reagents; Approved Guideline.	2013-01-15	InVitro Diagnostics	
CLSI	EP06-A (Replaces EP6-P2)	7-193	Evaluation of the Linearity of Quantitative Measurement Procedures: A Statistical Approach; Approved Guideline	2014-01-30	InVitro Diagnostics	
CLSI	EP21 2nd Edition (Replaces EP21-A)	7-268	Evaluation of Total Analytical Error for Quantitative Medical Laboratory Measurement Procedures	2016-12-23	InVitro Diagnostics	
CLSI	GP20-A2 (Replaces GP20-A)	7-166	Fine Needle Aspiration Biopsy (FNAB) Techniques; Approved Guideline - Second Edition	2012-03-16	InVitro Diagnostics	
CLSI	MM21-1st Edition	7-264	Genomic Copy Number Microarrays for Constitutional Genetic and Oncology Applications	2016-06-27	InVitro Diagnostics	
CLSI	C44-A (Replaces C44-P)	7-173	Harmonization of Glycohemoglobin Measurements; Approved Guideline	2009-03-18	InVitro Diagnostics	
CLSI	C56-A	7-242	Hemolysis Icterus and Lipemia/Turbidity Indices as Indicators of Interference in Clinical Laboratory Analysis; Approved Guideline	2013-08-06	InVitro Diagnostics	
CLSI	EP27-A	7-291	How to Construct and Interpret an Error Grid for Quantitative Diagnostic Assays 1st Edition	2019-07-15	InVitro Diagnostics	
CLSI	I/LA30-A (Replaces I/LA30-P)	7-176	Immunoassay Interference by Endogenous Antibodies; Approved Guideline.	2009-03-18	InVitro Diagnostics	
ISO	17511 Second edition 2020-04	7-305	In vitro diagnostic medical devices - Requirements for establishing metrological traceability of values assigned to calibrators trueness control materials and human samples	2020-12-21	InVitro Diagnostics	
CLSI	EP07 3rd Edition	7-275	Interference Testing in Clinical Chemistry.	2018-09-17	InVitro Diagnostics	
CLSI	MM18-A (Replaces MM18-P)	7-192	Interpretive Criteria for Indentification of Bacteria and Fungi by DNA Target Sequencing; Approved Guideline	2009-03-18	InVitro Diagnostics	
CLSI	C31-A2 (Replaces C31-A)	7-87	Ionized Calcium Determinations: Precollection Variables Specimen Choice Collection and Handling; Approved Guideline - Second Edition.	2004-03-08	InVitro Diagnostics	
CLSI	M48-A 2nd Edition	7-285	Laboratory Detection and Identification of Mycobacteria	2019-01-14	InVitro Diagnostics	
CLSI	M15-A (Replaces M15-T)	7-76	Laboratory Diagnosis of Blood-borne Parasitic Diseases; Approved Guideline	2012-08-20	InVitro Diagnostics	
CLSI	C62-A	7-265	Liquid Chromatography-Mass Spectrometry Methods; Approved Guideline.	2016-09-21	InVitro Diagnostics	
CLSI	C57 1st Edition	7-272	Mass Spectrometry for Androgen and Estrogen Measurements in Serum	2017-08-21	InVitro Diagnostics	
CLSI	EP09c 3rd Edition	7-296	Measurement Procedure Comparison and Bias Estimation Using Patient Samples	2020-07-06	InVitro Diagnostics	
ISO	/TS 20914 First edition 2019-07	7-297	Medical laboratories - Practical guidance for the estimation of measurement uncertainty	2020-07-06	InVitro Diagnostics	
CLSI	M51-A (Replaces M51-P)	7-243	Method for Antifungal Disk Diffusion Susceptibility Testing of Nondermatophyte Filamentous Fungi; Approved Guideline	2013-08-06	InVitro Diagnostics	
CLSI	M45 3rd Edition	7-262	Methods for Antimicrobial Dilution and Disk Susceptibility Testing of Infrequently Isolated or Fastidious Bacteria.	2019-01-14	InVitro Diagnostics	
CLSI	M43-A	7-236	Methods for Antimicrobial Susceptibility Testing for Human Mycoplasmas; Approved Guideline.	2013-01-15	InVitro Diagnostics	
CLSI	M11 9th Edition	7-286	Methods for Antimicrobial Susceptibility Testing of Anaerobic Bacteria; Approved Standard-Eighth Edition.	2019-01-14	InVitro Diagnostics	
CLSI	M07 11th Edition	7-279	Methods for Dilution Antimicrobial Susceptibility Tests for Bacteria That Grow Aerobically	2018-09-17	InVitro Diagnostics	
CLSI	M58 1st Edition	7-273	Methods for Identification of Cultured Microorganisms Using Matrix-Assisted Laser Desorption/Ionization Time-of-Flight Mass Spectrometry	2017-08-21	InVitro Diagnostics	
CLSI	H44-A2 (Replaces H44-A)	7-135	Methods for Reticulocyte Counting (Automated Blood Cell Counters Flow Cytometry and Supravital Dyes); Approved Guideline - Second Edition	2008-09-09	InVitro Diagnostics	
CLSI	EP32-R (Formerly X05-R)	7-239	Metrological Traceability and Its Implementation; A Report	2014-01-30	InVitro Diagnostics	
CLSI	GP28-A (Replaces GP28-P)	7-164	Microwave Device Use in the Histology Laboratory; Approved Guideline	2009-03-18	InVitro Diagnostics	
CLSI	MM03-3rd Edition (Replaces MM03-A2)	7-260	Molecular Diagnostic Methods for Infectious Diseases; Approved Guideline	2016-04-04	InVitro Diagnostics	
CLSI	MM23-1st Edition	7-269	Molecular Diagnostic Methods for Solid Tumors (Nonhematological Neoplasms)	2019-01-14	InVitro Diagnostics	
CLSI	MM01-A3 (Replaces MM01-A2)	7-237	Molecular Methods for Clinical Genetics and Oncology Testing; Approved Guideline - Third Edition	2013-01-15	InVitro Diagnostics	
CLSI	GP23-A2 (Replaces GP23-A)	7-259	Nongynecological Cytology Specimens: Preexamination Examination and Postexamination Processes; Approved Guideline - Second Edition	2016-04-04	InVitro Diagnostics	
CLSI	MM05-A2 Vol. 32 No. 6 Replaces MM05-A Vol. 23 No. 17	7-232	Nucleic Acid Amplification Assays for Molecular Hematopathology; Approved Guideline - Second Edition	2019-01-14	InVitro Diagnostics	
CLSI	MM09-A2 (Replaces MM09-A)	7-255	Nucleic Acid Sequencing Methods in Diagnostic Laboratory Medicine: Approved Guideline -- Second Edition	2015-08-14	InVitro Diagnostics	
CLSI	H47-A2	7-205	One-Stage Prothrombin Time (PT) Test and Activated Partial Thromboplastin Time (APTT) Test; Approved Guideline - Second Edition.	2010-05-05	InVitro Diagnostics	
CLSI	POCT05-A (Replaces POCT05-P)	7-209	Performance Metrics for Continuous Interstitial Glucose Monitoring; Approved Guideline.	2010-05-05	InVitro Diagnostics	
CLSI	M60 2nd Edition	7-303	Performance Standards for Antifungal Susceptibility Testing of Yeast	2020-12-21	InVitro Diagnostics	
CLSI	M02 13th Edition	7-280	Performance Standards for Antimicrobial Disk Susceptibility Tests	2018-09-17	InVitro Diagnostics	
CLSI	M100 29th ed. January 2019 (Replaces M100 28th ed).	7-294	Performance Standards for Antimicrobial Susceptibility Testing	2019-12-23	InVitro Diagnostics	
CLSI	M62 1st Edition	7-292	Performance Standards for Susceptibility Testing of Mycobacteria Nocardia spp. and other Aerobic Actinomycetes	2019-07-15	InVitro Diagnostics	
CLSI	POCT14 2nd Edition	7-299	Point-of-Care Coagulation Testing and Anticoagulation Monitoring	2020-12-21	InVitro Diagnostics	
CLSI	C37-A	7-88	Preparation and Validation of Commutable Frozen Human Serum Pools as Secondary Reference Materials for Cholesterol Measurement Procedures; Approved Guideline	2004-03-08	InVitro Diagnostics	
CLSI	M47-A (Replaces M47-P)	7-189	Principles and Procedures for Blood Cultures; Approved Guideline	2009-03-18	InVitro Diagnostics	
CLSI	M56-A	7-257	Principles and procedures for Detection of Anaerobes in Clinical Specimens; Approved Guideline	2015-08-14	InVitro Diagnostics	
CLSI	H7-A3	7-104	Procedure for Determining Packed Cell Volume by the Microhematocrit Method - Second Edition; Approved Standard - Third Edition.	2004-10-04	InVitro Diagnostics	
CLSI	H30-A2	7-105	Procedure for the Determination of Fibrinogen in Plasma; Approved Guideline Second Edition	2004-10-04	InVitro Diagnostics	
CLSI	GP43-A4 (Formerly H11-A4)	7-142	Procedures for the Collection of Arterial Blood Specimens; Approved Standard -- Fourth Edition	2014-07-09	InVitro Diagnostics	
CLSI	GP44-A4 (Formerly H18-A4)	7-213	Procedures for the Handling and Processing of Blood Specimens for Common Laboratory Tests; Approved Guideline-Fourth Edition	2014-07-09	InVitro Diagnostics	
CLSI	M28-A2 (Replaces M28-A)	7-148	Procedures for the Recovery and Identification of Parasites from the Intestinal Tract; Approved Guideline - Second Edition.	2012-08-20	InVitro Diagnostics	
