Standard Designation Number/Date,Title of Standard,Specialty Task Group,Date of Recogntion,Standard Developing Organization,Recognition Number
XR 24-2008 (R2014),Primary user controls for interventional angiography x-ray equipment,Radiology,01/27/2015,NEMA," "12-230
XR 27 Amendment 1-2013,X-ray equipment for interventional procedures - User Quality Control Mode,Radiology,01/27/2015,NEMA," "12-286
14644-7 First edition 2004-10-01,Cleanrooms and associated controlled environments - Part 7: Separative devices (clean air hoods gloveboxes isolators and mini-environments),Sterility,01/27/2015,ISO," "14-166
TS 14101 First edition 2012-11-01,Surface characterization of gold nanoparticles for nanomaterial specific toxicity screening: FT-IR method,Nanotechnology,01/27/2015,ISO," "18-3
Std 2010-2012,Recommended Practice for Neurofeedback Systems,Neurology,01/27/2015,IEEE," "17-13
F2528-06 (Reapproved 2014),Standard Test Methods for Enteral Feeding Devices with a Retention Balloon,ObGyn/Gastroenterology/Urology,01/27/2015,ASTM," "9-45
F1672-14 (Reapproved 2019),Standard Specification for Resurfacing Patellar Prosthesis,Orthopedic,01/27/2015,ASTM," "11-281
F2943-14 (Reapproved 2019),Standard Guide for Presentation of End User Labeling Information for Orthopedic Implants Used in Joint Arthroplasty,Orthopedic,01/27/2015,ASTM," "11-283
F2978-13,Guide to Optimize Scan Sequences for Clinical Diagnostic Evaluation of Metal-on-Metal Hip Arthroplasty Devices using Magnetic Resonance Imaging,Orthopedic,01/27/2015,ASTM," "11-285
F2979-14,Guide for Characterization of Wear from the Articulating Surfaces in Retrieved Metal-on-Metal and other Hard-on-Hard Hip Prostheses,Orthopedic,01/27/2015,ASTM," "11-286
11979-9 First edition 2006-09-01,Ophthalmic implants - Intraocular lenses - Part 9: Multifocal intraocular lenses [Including: Amendment 1 (2014)],Ophthalmic,01/27/2015,ISO," "10-90
11979-10 First edition 2006-08-15,Ophthalmic implants - Intraocular lenses - Part 10: Phakic intraocular lenses [Including: Amendment 1 (2014)],Ophthalmic,01/27/2015,ISO," "10-91
14644-4 First edition 2001-04-01,Cleanrooms and associated controlled environments - Part 4: Design construction and start-up,Sterility,01/27/2015,ISO," "14-141
14644-5 First edition 2004-08-15,Cleanrooms and associated controlled environments - Part 5: Operations,Sterility,01/27/2015,ISO," "14-165
14644-3 First edition 2005-12-15,Cleanrooms and associated controlled environments - Part 3: Test methods,Sterility,01/27/2015,ISO," "14-242
14644-6 First edition 2007-07-15,Cleanrooms and associated controlled environments - Part 6: Vocabulary,Sterility,01/27/2015,ISO," "14-243
14644-8 Second edition 2013-02-15,Cleanrooms and associated controlled environments - Part 8: Classification of air cleanliness by chemical  concentration (ACC),Sterility,01/27/2015,ISO," "14-379
14644-9 First edition 2012-08-15,Cleanrooms and associated controlled environments - Part 9: Classification of surface cleanliness by particle concentration,Sterility,01/27/2015,ISO," "14-389
14644-10 First edition 2013-03-01,Cleanrooms and associated controlled environments - Part 10: Classification of surface cleanliness by chemical concentration,Sterility,01/27/2015,ISO," "14-390
/TS 16775 First edition 2014-05-15,Packaging for terminally sterilized medical devices - Guidance on the application of ISO 11607-1 and ISO 11607-2,Sterility,01/27/2015,ISO," "14-456
29022 First edition 2013-06-01,Dentistry - Adhesive - Notched-edge sheer bond strength test,Dental/ENT,01/27/2015,ISO," "4-219
F2710-13,Standard Consumer Safety Performance Specification for Commerical Cribs,General Plastic Surgery/General Hospital,01/27/2015,ASTM," "6-340
TR 80001-2-5 Edition 1.0 2014-12,Application of risk management for IT-networks incorporating medical devices - Part 2-5: Application guidance - Guidance on distributed alarm systems,Software/Informatics,01/27/2015,IEC," "13-70
Version 2.48,Logical Observation  Identifiers Names and Codes (LOINC) ,Software/Informatics,01/27/2015,RII," "13-71
Std 11073-10425-2014 ,Health informatics - Personal health device communication Part 10425: Device Specialization - Continuous Glucose Monitor (CGM) ,Software/Informatics,01/27/2015,IEEE," "13-72
5367 Fifth edition 2014-10-15,Anaesthetic and respiratory equipment -- Breathing sets and connectors,Anesthesiology,08/14/2015,ISO," "1-103
Standard No. 75-1997 (R2014),Resilient Lining Materials for Removable Dentures Part 1: Short-Term Materials,Dental/ENT,08/14/2015,ANSI ADA," "4-105
Standard No. 17-1983 (R2014),Denture Base Temporary Relining Resins,Dental/ENT,08/14/2015,ANSI ADA," "4-130
S3.25-2009 (Reaffirmed 2014),American National Standard For an Occluded Ear Simulator,Dental/ENT,08/14/2015,ANSI ASA," "4-184
S3.22-2014,American National Standard Specification of Hearing Aid Characteristics,Dental/ENT,08/14/2015,ANSI ASA," "4-220
F1441-03 (Reapproved 2014),Standard Specification for Soft-Tissue Expander Devices,General Plastic Surgery/General Hospital,08/14/2015,ASTM," "6-110
F881-94 (Reapproved 2014),Standard Specification for Silicone Elastomer Facial Implants,General Plastic Surgery/General Hospital,08/14/2015,ASTM," "6-185
E1061-01 (Reapproved 2014),Standard Specification for Direct-Reading Liquid Crystal Forehead Thermometers,General Plastic Surgery/General Hospital,08/14/2015,ASTM," "6-200
11608-1 Third edition 2014-12-15,Needle-based injection systems for medical use - Requirements and test methods - Part 1: Needle-based injection systems,General Plastic Surgery/General Hospital,08/14/2015,ISO," "6-341
EP05-A3,Evaluation of Precision of Quantitative Measurement Procedures;  Approved Guideline - Third Edition,InVitro Diagnostics,08/14/2015,CLSI," "7-251
EP14-A3,Evaluation of Commutability of Processed Samples; Approved Guideline - Third Edition,InVitro Diagnostics,08/14/2015,CLSI," "7-252
EP15-A3,User Verification of Precision and Estimation of Bias; Approved Guideline - Third Edition,InVitro Diagnostics,08/14/2015,CLSI," "7-253
MM09-A2 (Replaces MM09-A),Nucleic Acid Sequencing Methods in Diagnostic Laboratory Medicine: Approved Guideline -- Second Edition,InVitro Diagnostics,08/14/2015,CLSI," "7-255
8009 Second edition 2014-11-15,Mechanical contraceptives - Reusable natural and silicone rubber contraceptive diaphragms - Requirements and tests,ObGyn/Gastroenterology/Urology,08/14/2015,ISO," "9-108
14730 Second edition 2014-10-01,Ophthalmic optics - Contact lens care products - Antimicrobial preservative efficacy testing and guidance on determining discard date,Ophthalmic,08/14/2015,ISO," "10-94
11979-6 Third edition 2014-10-01,Ophthalmic implants - Intraocular lenses - Part 6: Shelf-life and transport stability testing,Ophthalmic,08/14/2015,ISO," "10-95
Z80.10-2014,American National Standard for Ophthalmics - Ophthalmic Instruments - Tonometers,Ophthalmic,08/14/2015,ANSI," "10-96
13212 Third edition 2014-09-01,Ophthalmic optics - Contact lens care products - Guidelines for determination of shelf-life,Ophthalmic,08/14/2015,ISO," "10-97
11979-2 Second edition 2014-08-15,Ophthalmic implants - Intraocular lenses - Part 2: Optical properties and test methods,Ophthalmic,08/14/2015,ISO," "10-98
F1875-98 (Reapproved 2014),Standard Practice for Fretting Corrosion Testing of Modular Implant Interfaces: Hip Femoral Head-bore and Cone Taper Interface,Orthopedic,08/14/2015,ASTM," "11-183
F2665-09 (Reapproved 2014),Standard Specification for Total Ankle Replacement Prosthesis,Orthopedic,08/14/2015,ASTM," "11-266
8828 Second edition 2014-11-15,Implants for surgery -- Guidance on care and handling of orthopaedic implants,Orthopedic,08/14/2015,ISO," "11-290
62220-1-1 Edition 1.0 2015-03,Medical electrical equipment-Characteristics of digital X-ray imaging devices Part 1-1: Determination of the detective quantum efficiencyDetectors used in radiographic imaging,Radiology,08/14/2015,IEC," "12-289
61910-1 Edition 1.0 2014-09,Medical electrical equipment - Radiation dose documentation - Part 1: Radiation dose structured reports for radiography and radioscopy,Radiology,08/14/2015,IEC," "12-290
62127-2 Edition 1.1 2013-02,Ultrasonics -- Hydrophones -- Part 2: Calibration for ultrasonic fields up to 40 MHz,Radiology,08/14/2015,IEC," "12-291
51649 Third edition 2015-03-15,Practice for dosimetry in an electron beam facility for radiation processing at energies between 300 keV and 25 MeV,Sterility,08/14/2015,ASTM ISO," "14-464
51608 Second edition 2015-03-15,Practice for dosimetry in an X-ray (bremsstrahlung) facility for radiation processing at energies between 50 KeV and 7.5 MeV,Sterility,08/14/2015,ASTM ISO," "14-463
51707 Third edition 2015-03-15,Guide for estimating uncertainties in dosimetry for radiation processing,Sterility,08/14/2015,ASTM ISO," "14-465
80601-2-72 First edition 2015-04-11,Medical electrical equipment - Part 2-72: Particular requirements for basic safely and essential performance of home healthcare environment ventilators for ventilator-dependent patients,Anesthesiology,08/14/2015,ISO," "1-105
F2051-00 (Reapproved 2014),Standard Specification for Implantable Saline Filled Breast Prosthesis,General Plastic Surgery/General Hospital,08/14/2015,ASTM," "6-353
D7907-14 (Reapproved 2019),Standard Test Methods for Determination of Bactericidal Efficacy on the Surface of Medical Examination Gloves,General Plastic Surgery/General Hospital,08/14/2015,ASTM," "6-354
M56-A,Principles and procedures for Detection of Anaerobes in Clinical Specimens; Approved Guideline,InVitro Diagnostics,08/14/2015,CLSI," "7-257
15309 First edition 2013-12-01,Implants for surgery - Differential scanning calorimetry of poly ether ether ketone (PEEK) polymers and compounds for use in implantable medical devices,Materials,08/14/2015,ISO," "8-389
TS 80004-6 First edition 2013-11-01,Nanotechnologies - Vocabulary - Part 6: Nano-object characterization,Nanotechnology,08/14/2015,ISO," "18-4
4311 First edition 1979-06-01,Anionic and non-ionic surface active agents - Determination of critical micellization concentration - Method by measuring surface tension with a plate stirrup or ring,Ophthalmic,08/14/2015,ISO," "10-99
F2582-14 ,Standard Test Method for Impingement of Acetabular Prostheses,Orthopedic,08/14/2015,ASTM," "11-293
F1357 -14 (Reapproved 2019),Standard Specification for Articulating Total Wrist Implants ,Orthopedic,08/14/2015,ASTM," "11-294
Std 3333.2.1-2015 ,IEEE Recommended Practice for Three-Dimensional (3D) Medical Modeling,Radiology,08/14/2015,IEEE," "12-292
7176-25 First edition 2013-07-15,Wheelchairs - Part 25: Batteries and chargers for powered wheelchairs,Physical Medicine,08/14/2015,ISO," "16-194
SNOMED-CT RF2 Release 2015,Systematized Nomenclature of Medicine - Clinical Terms,Software/Informatics,08/14/2015,IHTSDO," "13-73
Std 11073-10424-2014,Health informatics - Personal health device communication Part 10424: Device Specialization - Sleep Apnoea Breathing Therapy Equipment (SABTE),Software/Informatics,08/14/2015,IEEE," "13-74
11073-10102 First edition 2014-03-01,Health informatics - Point-of-care medical device communication - Part 10102: Nomenclature - Annotated ECG,Software/Informatics,08/14/2015,IEEE ISO," "13-75
11073-91064 First edition 2009-05-01,Health informatics - Standard communication protocol - Computer-assisted electrocardiography,Software/Informatics,08/14/2015,ISO," "13-76
29147 First edition 2014-02-15,Information technology - Security techniques - Vulnerability disclosure,Software/Informatics,08/14/2015,IEC ISO," "13-77
30111 First edition 2013-11-01,Information technology - Security techniques - Vulnerability handling processes,Software/Informatics,08/14/2015,IEC ISO," "13-78
ST91:2015 ,Flexible and semi-rigid endoscope processing in health care facilities,Sterility,08/14/2015,ANSI AAMI," "14-478
F647-94 (Reapproved 2014),Standard Practice for Evaluating and Specifying Implantable Shunt Assemblies for Neurosurgical Application,Neurology,08/14/2015,ASTM," "17-4
17510 First Edition 2015-08-01,Medical devices -- Sleep apnoea breathing therapy -- Masks and application accessories,Anesthesiology,04/04/2016,ISO," "1-106
24234 Second edition 2015-05-01,Dentistry - Dental Amalgam,Dental/ENT,04/04/2016,ISO," "4-224
4823 Fourth edition 2015-08-01,Dentistry - Elastometric impression materials,Dental/ENT,04/04/2016,ISO," "4-225
Standard No. 78-2006,Dental obturating cones (Modified adoption of ISO 6877-1:1995 Dental obturating points),Dental/ENT,04/04/2016,ANSI ADA," "4-194
S20.20-2014,Standard for the Development of an Electrostatic Discharge Control Program for Protection of Electrical and Electronic Parts Assemblies and Equipment (Excluding Electrically Initiated Explosive Devices),General I (QS/RM),04/04/2016,ANSI ESD," "5-98
D4332-14,Standard Practice for Conditioning Containers Packages or Packaging Components for Testing,General I (QS/RM),04/04/2016,ASTM," "5-99
HA60601-1-11:2015,Medical Electrical Equipment -- Part 1-11: General requirements for basic safety and essential performance -- Collateral Standard: Requirements for medical electrical equipment and medical electrical equipment and medical electrical systems used in the home healthcare environment (IEC 60601-1-11:2015 MOD),General II (ES/EMC),04/04/2016,ANSI AAMI," "19-16
D3772-15,Standard Specification for Industrial Rubber Finger Cots,General Plastic Surgery/General Hospital,04/04/2016,ASTM," "6-355
D5712-15,Standard Test Method for Analysis of Aqueous Extractable Protein in Natural Rubber in Latex Natural Rubber and Elastomeric Products Using the Modified Lowry Method,General Plastic Surgery/General Hospital,04/04/2016,ASTM," "6-356
MM03-3rd Edition (Replaces MM03-A2),Molecular Diagnostic Methods for Infectious Diseases; Approved Guideline,InVitro Diagnostics,04/04/2016,CLSI," "7-260
F1801-97 (Reapproved 2014),Standard Practice for Corrosion Fatigue Testing of Metallic Implant Materials,Materials,04/04/2016,ASTM," "8-103
F746-04 (Reapproved 2014),Standard Test Method for Pitting or Crevice Corrosion of Metallic Surgical Implant Materials,Materials,04/04/2016,ASTM," "8-107
F2255-05 (Reapproved 2015),Standard Test Method for Strength Properties of Tissue Adhesives in Lap Shear by Tension Loading,Materials,04/04/2016,ASTM," "8-114
F2256-05 (Reapproved 2015),Standard Test Method for Strength Properties of Tissue Adhesives in T-Peel by Tension Loading,Materials,04/04/2016,ASTM," "8-115
F2258-05 (Reapproved 2015),Standard Test Method for Strength Properties of Tissue Adhesives in Tension,Materials,04/04/2016,ASTM," "8-116
F2005-05 (Reapproved 2015),Standard Terminology for Nickel-Titanium Shape Memory Alloys,Materials,04/04/2016,ASTM," "8-121
F2392-04 (Reapproved 2015),Standard Test Method for Burst Strength of Surgical Sealants,Materials,04/04/2016,ASTM," "8-135
F2458-05 (Reapproved 2015),Standard Test Method for Wound Closure Strength of Tissue Adhesives and Sealants,Materials,04/04/2016,ASTM," "8-136
F1350-15,Standard Specification for Wrought 18 Chromium-14 Nickel-2.5 Molybdenum Stainless Steel Surgical Fixation Wire (UNS S31673),Materials,04/04/2016,ASTM," "8-393
F1472-14,Standard Specification for Wrought Titanium -6Aluminum -4Vanadium Alloy for Surgical Implant Applications (UNS R56400),Materials,04/04/2016,ASTM," "8-394
F1108-14,Standard Specification for Titanium-6Aluminum-4Vanadium Alloy Castings for Surgical Implants (UNS R56406),Materials,04/04/2016,ASTM," "8-398
F90-14,Standard Specification for Wrought Cobalt-20 Chromium-15 Tungsten-10 Nickel Alloy for Surgical Implant Applications (UNS R30605),Materials,04/04/2016,ASTM," "8-399
F1854-15,Standard Test Method for Stereological Evaluation of Porous Coatings on Medical Implants,Materials,04/04/2016,ASTM," "8-400
F2003-02 (Reapproved 2015),Standard Practice for Accelerated Aging of Ultra-High Molecular Weight Polyethylene after Gamma Irradiation in Air,Materials,04/04/2016,ASTM," "8-200
F2118-14 (Reapproved 2020),Standard Test Method for Constant Amplitude of Force Controlled Fatigue Testing of Acrylic Bone Cement Materials,Materials,04/04/2016,ASTM," "8-401
D638-14,Standard Test Method for Tensile Properties of Plastics,Materials,04/04/2016,ASTM," "8-403
E647-15,Standard Test Method for Measurement of Fatigue Crack Growth Rates,Materials,04/04/2016,ASTM," "8-404
5832-4 Third edition 2014-09-15,Implants for surgery -- Metallic materials -- Part 4: Cobalt-chromium-molybdenum casting alloy,Materials,04/04/2016,ISO," "8-405
5832-11 Second edition 2014-09-15,Implants for surgery -- Metallic materials -- Part 11: Wrought titanium 6-aluminium 7-niobium alloy,Materials,04/04/2016,ISO," "8-406
E2490-09 (Reapproved 2015),Standard Guide for Measurement of Particle Size Distribution of Nanomaterials in Suspension by Photon Correlation Spectroscopy (PCS),Nanotechnology,04/04/2016,ASTM," "18-1
8600-1 Fourth Edition 2015-10-15,Endoscopes - Medical endoscopes and endotherapy devices -- Part 1: General requirements,ObGyn/Gastroenterology/Urology,04/04/2016,ISO," "9-110
Z80.21-2010 (R2015),American National Standard for Ophthalmics - Instruments - General-Purpose Clinical Visual Acuity Charts,Ophthalmic,04/04/2016,ANSI," "10-73
F2068-15,Standard Specification for Femoral Prostheses - Metallic Implants,Orthopedic,04/04/2016,ASTM," "11-299
F2789-10 (Reapproved 2015),Standard Guide for Mechanical and Functional Characterization of Nucleus Devices,Orthopedic,04/04/2016,ASTM," "11-247
F2091-15,Standard Specification for Acetabular Prostheses,Orthopedic,04/04/2016,ASTM," "11-301
7176-1 Third edition 2014-10-01,Wheelchairs - Part 1:  Determination of static stability,Physical Medicine,04/04/2016,ISO," "16-195
GP23-A2 (Replaces GP23-A),Nongynecological Cytology Specimens: Preexamination Examination and Postexamination Processes; Approved Guideline - Second Edition,InVitro Diagnostics,04/04/2016,CLSI," "7-259
MS-1-2008 (R2014),Determination of Signal-to-Noise Ratio (SNR) in Diagnostic Magnetic Resonance Imaging,Radiology,04/04/2016,NEMA," "12-188
MS 3-2008 (R2014),Determination of Image Uniformity in Diagnostic Magnetic Resonance Images,Radiology,04/04/2016,NEMA," "12-187
MS 6-2008 (R2014),Determination of Signal-to-Noise Ratio and Image Uniformity for Single-Channel Non-Volume Coils in Diagnostic MR Imaging,Radiology,04/04/2016,NEMA," "12-195
MS 2-2008 (R2014),Determination of Two-Dimensional Geometric Distortion in Diagnostic Magnetic Resonance Images,Radiology,04/04/2016,NEMA," "12-196
MS 9-2008 (R2014),Standards Publication Characterization of Phased Array Coils for Diagnostic Magnetic Resonance Images,Radiology,04/04/2016,NEMA," "12-288
F2791-15,Standard Guide for Assessment of Surface Texture of Non-Porous Biomaterials in Two Dimensions,Tissue Engineering,04/04/2016,ASTM," "15-43
F2721-09 (Reapproved 2014),Standard Guide for Pre-clinical in vivo Evaluation in Critical Size Segmental Bone Defects,Tissue Engineering,04/04/2016,ASTM," "15-24
80601-2-70 First Edition 2015-01-15 ,Medical Electrical Equipment - Part 2-70: Particular Requirements for Basic Safety and Essential Performance of Sleep Apnoea Breathing Therapy Equipment,Anesthesiology,04/04/2016,ISO," "1-115
C63.18-2014 ,American National Standard Recommended Practice for an On-Site Ad Hoc Test Method for Estimating Electromagnetic Immunity of Medical Devices to Radiated Radio-Frequency (RF) Emissions from RF Transmitters ,General II (ES/EMC),04/04/2016,ANSI IEEE," "19-17
F2529-13,Standard Guide for in vivo Evaluation of Osteoinductive Potential for Materials Containing Demineralized Bone (DBM),Tissue Engineering,04/04/2016,ASTM," "15-44
Std 11073-10419:2015 ,Health informatics - Personal health device communication - Part 10419: Device Specialization - Insulin Pump,Software/Informatics,04/04/2016,IEEE," "13-81
7176-7 First Edition 1998-05-15,Wheelchairs - Part 7: Measurement of seating and wheel dimensions ,Physical Medicine,04/04/2016,ISO," "16-196
7176-8 Second editon 2014-12-15,Wheelchairs - Part 8: Requirements and test methods for static impact and fatigue strengths,Physical Medicine,04/04/2016,ISO," "16-197
7176-22 Second edition 2014-09-01,Wheelchairs - Part 22: Set-up procedures,Physical Medicine,04/04/2016,ISO," "16-198
F3107-14 ,Standard Test Method for Measuring Accuracy after Mechanical Disturbances on Reference Frames of Computer Assisted Surgery Systems,Orthopedic,04/04/2016,ASTM," "11-304
F3047M-15,Standard Guide for High Demand Hip Simulator Wear Testing of Hard-on-hard Articulations,Orthopedic,04/04/2016,ASTM," "11-303
18259 First Edition 2014-10-01,Ophthalmic optics - Contact lens care products - Method to assess contact lens care products with contact lenses in a lens case challenged with bacterial and fungal organisms,Ophthalmic,04/04/2016,ISO," "10-100
10555-6 First edition 2015-04-15 ,Intravascular catheters - Sterile and single-use catheters - Part 6: Subcutaneous implanted ports ,General Plastic Surgery/General Hospital,04/04/2016,ISO," "6-357
8536-8 Second Edition 2015-06-15 ,Infusion Equipment for Medical Use - Part 8: Infusion Sets for Single Use with Pressure Infusion Apparatus ,General Plastic Surgery/General Hospital,04/04/2016,ISO," "6-358
8536-9 Second Edition 2015-06-15 ,Infusion Equipment for Medical Use - Part 9: Fluid Lines for Single Use with Pressure Infusion Equipment ,General Plastic Surgery/General Hospital,04/04/2016,ISO," "6-359
8536-10 Second Edition 2015-06-15 ,Infusion Equipment for Medical Use - Part 10: Accessories for Fluid Lines for Single Use with Pressure Infusion Equipment ,General Plastic Surgery/General Hospital,04/04/2016,ISO," "6-360
8536-11 Second Edition 2015-06-15 ,Infusion Equipment for Medical Use - Part 11: Infusion Filters for Single Use with Pressure Infusion Equipment ,General Plastic Surgery/General Hospital,04/04/2016,ISO," "6-361
F3122-14,Standard Guide for Evaluating Mechanical Properties of Metal Materials Made via Additive Manufacturing Processes,Materials,04/04/2016,ASTM," "8-408
F2924-14,Standard Specification for Additive Manufacturing Titanium-6 Aluminum-4 Vanadium with Powder Bed Fusion ,Materials,04/04/2016,ASTM," "8-409
F2819-10 (Reapproved 2015),Standard Test Methods for Measurement of Straightness of Bar Rod Tubing and Wire to be used for Medical Devices ,Materials,04/04/2016,ASTM," "8-413
F2778-09 (Reapproved 2020) ,Standard Test Method for Measurement of Percent Crystallinity of Polyetheretherketone (PEEK) Polymers by Means of Specular Reflectance Fourier Transform Infrared Spectroscopy (R-FTIR),Materials,04/04/2016,ASTM," "8-415
F640-12 ,Standard Test Methods for Determining Radiopacity for Medical Use ,Materials,04/04/2016,ASTM," "8-418
EN 1618:1997,Catheters other than intravascular catheters - Test methods for common properties,ObGyn/Gastroenterology/Urology,04/04/2016,CEN," "9-113
60417:2002 DB,Graphical symbols for use on equipment ,General I (QS/RM),06/15/2016,IEC," "5-102
/TR 60878 Ed. 3.0 b:2015,Graphical symbols for electrical equipment in medical practice,General I (QS/RM),06/15/2016,IEC," "5-104
Standard No. 38-2000 (R2015),Metal-Ceramic Dental Restorative Systems,Dental/ENT,06/27/2016,ANSI ADA," "4-86
Standard No. 48-2004 (R2015),Visible Light Curing Units,Dental/ENT,06/27/2016,ANSI ADA," "4-139
22674 Second edition 2016-01-15,Dentistry - Metallic materials for fixed and removable restorations and appliances,Dental/ENT,06/27/2016,ISO," "4-227
S3.20-2015 (Revision of ANSI S3.20-1995),American National Standard Bioacoustical Terminology,Dental/ENT,06/27/2016,ANSI ASA," "4-228
Standard No. 58-2010 (R2015) ,Root Canal Files Type H (Hedstrom),Dental/ENT,06/27/2016,ANSI ADA," "4-202
11810 Second edition 2015-12-15,Lasers and laser-related equipment - Test method and classification for the laser-resistance of surgical drapes and/or patient-protective covers - Primary ignition penetration flame spread and secondary ignition,General Plastic Surgery/General Hospital,06/27/2016,ISO," "6-363
8537 Third edition 2016-03-15,Sterile single-use syringes with or without needle for insulin,General Plastic Surgery/General Hospital,06/27/2016,ISO," "6-364
12417 First edition 2015-10-01,Cardiovascular implants and extracorporeal systems - Vascular device-drug combination products,Cardiovascular,06/27/2016,ISO," "3-143
11040-4 Third edition 2015-04-01,Prefilled syringes - Part 4: Glass barrels for injectables,General Plastic Surgery/General Hospital,06/27/2016,ISO," "6-365
F2052-15,Standard Test Method for Measurement of Magnetically Induced Displacement Force on Medical Devices in the Magnetic Resonance Environment,Materials,06/27/2016,ASTM," "8-422
F1781-15,Standard Specification for Elastomeric Flexible Hinge Finger Total Joint Implants,Orthopedic,06/27/2016,ASTM," "11-305
F1814-15,Standard Guide for Evaluating Modular Hip and Knee Joint Components,Orthopedic,06/27/2016,ASTM," "11-306
HE75:2009/(R)2018,Human factors engineering - Design of medical devices,General I (QS/RM),06/27/2016,ANSI AAMI," "5-57
RP-27.1-2015,Recommended Practice for Photobiological Safety for Lamps and Lamp Systems - General Requirements,Radiology,06/27/2016,ANSI IES," "12-297
MS 10-2010,Determination of Local Specific Absorption Rate (SAR) in Diagnostic Magnetic Resonance Imaging,Radiology,06/27/2016,NEMA," "12-298
62563-1 Edition 1.1,Medical electrical equipment - Medical image display systems - Part 1: Evaluation methods,Radiology,06/27/2016,IEC," "12-299
PS 3.1 - 3.20 (2016),Digital Imaging and Communications in Medicine (DICOM) Set,Radiology,06/27/2016,NEMA," "12-300
60601-2-8 Edition 2.1 b:2015,Medical electrical equipment - Part 2-8:  Particular requirements for the safety of therapeutic X-ray equipment operating in the range 10 kV to 1 MV,Radiology,06/27/2016,IEC," "12-301
14644-2 Second edition 2015-12-15 ,Cleanrooms and associated controlled environments - Part 2: Monitoring to provide evidence of cleanroom performance related to air cleanliness by particle concentration,Sterility,06/27/2016,ISO," "14-481
F88/F88M-15,Standard Test Method for Seal Strength of Flexible Barrier Materials,Sterility,06/27/2016,ASTM," "14-482
52303 First edition 2015-07-15 ,Guide for absorbed-dose mapping in radiation processing facilities,Sterility,06/27/2016,ASTM ISO," "14-483
F1929-15,Standard Test Method for Detecting Seal Leaks in Porous Medical Packaging by Dye Penetration,Sterility,06/27/2015,ASTM," "14-484
11608-5 First edition 2012-10-01 ,Needle-based injection systems for medical use - Requirements and test methods - Part 5: Automated function.,General Plastic Surgery/General Hospital,06/27/2016,ISO," "6-377
MM21-1st Edition,Genomic Copy Number Microarrays for Constitutional Genetic and Oncology Applications,InVitro Diagnostics,06/27/2016,CLSI," "7-264
F2565-13,Standard Guide for Extensively Irradiation-Crosslinked Ultra-High Molecular Weight Polyethylene Fabricated Forms for Surgical Implant Applications,Materials,06/27/2016,ASTM," "8-423
52900 First Edition 2015-12-15,Additive manufacturing -- General principles - Terminology.,Materials,06/27/2016,ASTM ISO," "8-434
52921 First Edition 2013-06-01,Standard Terminology for Additive Manufacturing-Coordinate Systems and Test Methodologies.,Materials,06/27/2016,ASTM ISO," "8-432
F2971-13,Standard Practice for Reporting Data for Test Specimens Prepared by Additive Manufacturing,Materials,06/27/2016,ASTM," "8-431
13356:2015 Third Edition 2015-09-15,Implants for surgery -- Ceramic materials based on yttria-stabilized tetragonal zirconia (Y-TZP) ,Materials,06/27/2016,ISO," "8-430
F2224-09 (Reapproved 2020),Standard Specification for High Purity Calcium Sulfate Hemihydrate or Dihydrate for Surgical Implants ,Materials,06/27/2016,ASTM," "8-429
F1185-03 (Reapproved 2014) ,Standard Specification for Composition of Hydroxylapatite for Surgical Implants,Materials,06/27/2016,ASTM," "8-427
F3087-15,Standard Specification for Acrylic Molding Resins for Medical Implant Applications ,Materials,06/27/2016,ASTM," "8-426
F2820-12,Standard Specification for Polyetherketoneketone (PEKK) Polymers for Surgical Implant Applications ,Materials,06/27/2016,ASTM," "8-425
F2695-12,Standard Specification for Ultra-High Molecular Weight Polyethylene Powder Blended With Alpha-Tocopherol (Vitamin E) and Fabricated Forms for Surgical Implant Applications,Materials,06/27/2016,ASTM," "8-424
80369-6 First Edition 2016-03-15 ,Small bore connectors for liquids and gases in healthcare applications - Part 6: Connectors for neuraxial applications. ,General I (QS/RM),06/27/2016,ISO," "5-108
F2385-15 (Reapproved 2019),Standard Practice for Determining Femoral Head Penetration into Acetabular Components of Total Hip Replacement Using Clinical Radiographs ,Orthopedic,06/27/2016,ASTM," "11-307
F3161-16,Standard Test Method for Finite Element Analysis (FEA) of Metallic Orthopaedic Total Knee Femoral Components under Closing Conditions,Orthopedic,06/27/2016,ASTM," "11-308
/TIR 80001-2-6:2014,Application of risk management for IT networks incorporating medical devices - Part 2-6: Application guidance - Guidance for responsibility agreements,Software/Informatics,06/27/2016,AAMI ISO," "13-82
TIR57:2016 ,Principles for medical device security - Risk management. ,Software/Informatics,06/27/2016,AAMI," "13-83
11073-10103 First edition 2014-03-01 ,Health informatics - Point-of-care medical device communication - Part 10103: Nomenclature - Implantable device cardiac,Software/Informatics,06/27/2016,IEEE ISO," "13-84
F1983-14,Standard Practice for Assessment of Compatibility of Absorbable/Resorbable Biomaterials for Implant Applications,Biocompatibility,07/26/2016,ASTM," "2-227
F1904-14,Standard Practice for Testing the Biological Responses to Particles In Vivo,Biocompatibility,07/26/2016,ASTM," "2-213
/TR 10993-33 First Edition 2015-03-01,Biological evaluation of medical devices - Part 33: Guidance on tests to evaluate genotoxicity - Supplement to ISO 10993-3,Biocompatibility,07/26/2016,ISO," "2-243
7864 Fourth edition 2016-08-01,Sterile hypodermic needles for single use - Requirements and test methods,General Plastic Surgery/General Hospital,09/21/2016,ISO," "6-379
