KNUMBER|APPLICANT|CONTACT|STREET1|STREET2|CITY|STATE|COUNTRY_CODE|ZIP|POSTAL_CODE|DATERECEIVED|DECISIONDATE|DECISION|REVIEWADVISECOMM|PRODUCTCODE|STATEORSUMM|CLASSADVISECOMM|SSPINDICATOR|TYPE|THIRDPARTY|EXPEDITEDREVIEW|DEVICENAME
K201287|DeGen Medical|Craig  Black|1321-C North Cashua Drive||Florence|SC|US|29501|29501|05/14/2020|12/22/2020|SESE|OR|MAX|Summary|OR||Traditional|N||Impulse Interbody Fusion System
K201317|TTBIO CORP.|Sheng-Chieh  Su|2F, NO.7, 6TH Road Industry Park||Taichung||TW|40755|40755|05/18/2020|12/04/2020|SESE|DE|ELC|Summary|DE||Traditional|N||TTBIO EVOCLEAN Ultrasonic Scaler
K201342|M.I. Tech Co., Ltd.|Inae  Kim|174, Habuk 2-gil, Jinwi-myeon||Pyeongtaek-si||KR|17706|17706|05/20/2020|12/31/2020|SESE|AN|JCT|Summary|SU||Traditional|N||HANAROSTENT Trachea/Bronchium (CCC)
K201354|Hong Qiangxing (Shen Zhen) Electronics Limited|Linda  Liao|4F, Jingcheng Building, Xicheng Industrial Zone|Xixiang Road, Baoan|Shenzhen||CN|518126|518126|05/21/2020|12/11/2020|SESE|PM|NGX|Summary|PM||Traditional|N||TENS & PMS
K201366|Pronova Laboratories BV|Diede  Klever|Kruitpad 16||Muiden||NL|1398 CP|1398 CP|05/22/2020|01/21/2021|SESE|SU|GEH|Summary|SU||Traditional|N||Forwarts
K201384|Shenzhen Raysintone Technology CO., Ltd|Xingbao  Yang|Zone C, 4th Floor, F Building, Xinwei Second Industrial Zone|Guangming District|Shenzhen||CN|518106|518106|05/26/2020|12/07/2020|SESE|AN|DQA|Summary|CV||Traditional|N||Pulse Oximeter
K201458|Delta International Services & Logistics S.r.l|Mariella  Giorgieri|Piazza Adriana 4||Rome||IT|00193|00193|06/01/2020|12/23/2020|SESE|NE|GZJ|Summary|NE||Abbreviated|N||Scrambler Therapy Technology (Model ST-5A)
K201469|B. Braun Medical Inc.|Angela J. Caravella|901 Marcon Boulevard||Allentown|PA|US|18109|18109|06/03/2020|12/09/2020|SESE|HO|LHI|Summary|HO||Traditional|N||Mini Spike Plus 6/8R
K201471|Medacta International SA|Stefano  Baj|Strada Regina||Castel San Pietro||CH|CH-6874|CH-6874|06/03/2020|01/11/2021|SESE|OR|LZO|Summary|OR||Traditional|N||M-Vizion Femoral Revision System Extension
K201489|Argon Medical Devices, Inc.|Amy  Clendening-Wheeler|1445 Flat Creek Road||Athens|TX|US|75751|75751|06/04/2020|12/22/2020|SESE|CV|DYB|Summary|CV||Traditional|N||Traveler38 0.038 Stylet Portal Vein Access Set, Traveler21 21ga Needle Portal Vein Access Set, Traveler16 16ga Needle Portal Vein Access set
K201491|JJGC Industria e Comercio de Materiais Dentarios S.A.|Mariana  Soares Hartmann|Av. Juscelino Kubitschek de Oliveira, 3291 - CIC||Curitiba||BR|81270-200|81270-200|06/04/2020|12/22/2020|SESE|DE|DZE|Summary|DE||Traditional|N||Neodent Implant System - Zirconia Implant System
K201495|Neurovirtual USA, INC.|Eduardo  Faria|3303 W Commercial Blvd #100||Fort Lauderdale|FL|US|33309|33309|06/05/2020|12/14/2020|SESE|AN|MNR|Summary|AN||Traditional|N||Maxxi Flow Sensor
K201509|Hangzhou AGS MedTech Co., Ltd.|Chunqi  Han|Building 5, Building 6, No.597 Kangxin Road Yuhang District||Hangzhou||CN|311106|311106|06/05/2020|12/16/2020|SESE|GU|LQR|Summary|GU||Traditional|N||Disposable Stone Extraction basket
K201519|MicroPort Orthopedics Inc.|Kristen  Russell|5677 Airline Road||Arlington|TN|US|38002|38002|06/08/2020|12/10/2020|SESE|OR|JDI|Summary|OR||Traditional|N||PROFEMUR® GLADIATOR® Cemented Classic Stem
K201541|Inari Medical|Eben  Gordon|9 Parker, Suite 100||Irvine|CA|US|92618|92618|06/09/2020|12/04/2020|SESE|CV|QEW|Summary|CV||Traditional|N||FlowTriever Retrieval/Aspiration System
K201553|Implant Direct Sybron Manufacturing, LLC|Reina  Choi|3050 East Hillcrest Drive||Thousand Oaks|CA|US|91362|91362|06/10/2020|01/22/2021|SESE|DE|DZE|Summary|DE||Traditional|N||Simply Iconic Implants
K201555|Ultromics Ltd|Melissa  Clark|4630 Kingsgate, Cascade Way, Oxford Business Park South||Oxford||GB|OX4 2SU|OX4 2SU|06/10/2020|12/18/2020|SESE|RA|POK|Summary|RA||Traditional|N||EchoGo Pro
K201577|MedSkin Solutions Dr. Suwelack AG|Zuzana  Hülsbusch|Josef-Suwelack-Strasse 2||Billerbeck||DE|48727|48727|06/11/2020|01/07/2021|SESE|SU|KGN|Summary|||Traditional|N||MatriDerm
K201579|Shenzhen Xunwei Industrial Co., Ltd.|Liu  Shengcai|First floor to fourth, Upper Small Industrial Zone,|Jinhua Road, Block 75, Xixiang|Shenzhen||CN|518102|518102|06/11/2020|01/15/2021|SESE|HO|FLL|Summary|HO||Traditional|N||Infrared Thermometer
K201582|Zhongshan Jinli Electronic Weighing  Equipment Co., Ltd.|Jerry  Liang|283rd South Min’an Road, Xiaolan Town, Zhongshan City||Zhongshan||CN|528416|528416|06/11/2020|01/15/2021|SESE|HO|FLL|Summary|HO||Traditional|N||Non-contact Electronic Forehead Infrared Thermometer
K201594|High Technology Products SLU|Sergi  Lozano|Pasaje Masoliver 24||Barcelona||ES|08005|08005|06/12/2020|12/17/2020|SESE|SU|GEX|Summary|SU||Traditional|N||Primelase Excellence
K201604|Plasdent Corporation|Belen G Walayat|969 Price Street||Pomona|CA|US|91767|91767|06/15/2020|12/23/2020|SESE|HO|PEM|Summary|SU||Traditional|N||Plasdent Disposable Barrier Sleeves and Barrier Film
K201606|FCI (France Chirurgie Instrumentation) SAS|Thierry  Fetick|20-22 rue Louis Armand||Paris||FR|75015|75015|06/15/2020|12/18/2020|SESE|OP|OKS|Summary|||Traditional|N||LacriJet®
K201625|Tianjin Saiyuan Technology CO., LTD|Hong  Cai|8 DongJiu Street, Zhongxin Road, Pilot Free Trade Zone|(Airport Economic Area)|Tianjin||CN|300308|300308|06/15/2020|01/12/2021|SESE|HO|FXX|Summary|SU||Abbreviated|N||Disposable Medical Surgical Mask
K201629|Shandong Shengquan New Material Co., Ltd.|Xiumei  Zhang|Diaozhen Industrial Development Zone, Zhangqiu District||Jinan||CN|250204|250204|06/16/2020|12/14/2020|SESE|HO|FXX|Summary|SU||Traditional|N||Medical Face Mask
K201643|ChoiceSpine, LLC|Kim  Finch|400 Erin Drive||Knoxville|TN|US|37919|37919|06/17/2020|12/22/2020|SESE|OR|ODP|Summary|OR||Traditional|N||ChoiceSpine Tiger Shark Cervical Spacer System
K201650|URO-1, Inc.|Thomas  Lawson|111 North Chestnut Street|Suite 106|Winston Salem|NC|US|27101|27101|06/18/2020|01/15/2021|SESE|GU|KNW|Summary|GU||Traditional|N||VMCore Biopsy Needle
K201658|Hamilton Medical AG|Annemarie  Weideli|Via Crush 8||Bonaduz||CH|7402|7402|06/18/2020|12/11/2020|SESE|AN|CBK|Summary|AN||Traditional|N||Hamilton-C6
K201685|Jeisys Medical, Inc.|Do Hyun  Kim|307, Daeryung Techno Town 8th,|Gamasan-ro 96, Geumcheon-Gu|Seoul||KR|08501|08501|06/22/2020|01/19/2021|SESE|SU|GEI|Summary|SU||Traditional|N||Potenza
K201696|Ethicon Endo-Surgery, LLC|Nathan  Anderson|475 Calle C||Guaynabo|PR|US|00696|00696|06/22/2020|01/22/2021|SESE|SU|GEI|Summary|SU||Traditional|N||ENSEAL X1 Tissue Sealer, Straight Jaw, 25 cm Shaft Length, ENSEAL X1 Tissue Sealer, Straight Jaw, 37 cm Shaft Length
K201700|BEGO Implant Systems GmbH & Co. KG|Bertrand  Lecointe|Wilhelm-Herbst-Str. 1||Bremen||DE|28359|28359|06/22/2020|01/13/2021|SESE|DE|DZE|Summary|DE||Traditional|N||BEGO Semados® RS/RSX Implant System
K201705|Vetex Medical, Ltd.|Mark  Bruzzi|Business Innovation Center, NUI Galway|Newcastle Road|Galway||IE|||06/22/2020|12/22/2020|SESE|CV|QEW|Summary|CV||Traditional|N||ReVene Thrombectomy Catheter
K201707|Dentscare LTDA|Roberta  Uyara|Av. Edgar Nelson Meister, 474||Joinville||BR|89219-501|89219-501|06/22/2020|12/22/2020|SESE|DE|EBF|Summary|DE||Traditional|N||Opallis, Opallis Flow
K201711|Medentika GmbH|Alexandra  Schulz|Hammweg 8-10||Hügelsheim||DE|76549|76549|06/23/2020|12/08/2020|SESE|DE|NHA|Summary|DE||Traditional|N||CARES Screw - Retained Bars and Bridges (SRBB)
K201712|Z-Systems AG|Rubino  DiGirolamo|Werkhofstrasse 5||Oensingen||CH|CH-4702|CH-4702|06/23/2020|12/01/2020|SESE|DE|DZE|Summary|DE||Traditional|N||Z5-TL
K201719|The Snore Reliever Company, LLC|David  Hernandez|4201 Tonnelle Avenue; Unit 202||North Bergen|NJ|US|07047|07047|06/23/2020|01/14/2021|SESE|DE|LRK|Summary|DE||Abbreviated|N||Vital Sleep
K201729|Zhende Medical Co., Ltd|Chen  Ming|Gaobu Town||Shaoxing||CN|312035|312035|06/24/2020|12/03/2020|SESE|HO|FXX|Summary|SU||Traditional|N||Medical Mask
K201735|ShenB Co Ltd|Oskar  Lee|ShenB Bldg 148 Seongsui-ro||Seoul||KR|04796|04796|06/25/2020|12/14/2020|SESE|SU|GEI|Summary|SU||Traditional|N||PlaDuo System
K201745|GE Medical Systems, LLC|Katelyn  Rowley|3000 N. Grandview Blvd.||Waukesha|WI|US|53188|53188|06/26/2020|12/10/2020|SESE|RA|JAK|Summary|RA||Traditional|N||Deep Learning Image Reconstruction for Gemstone Spectral Imaging
K201747|HippoScreen Neurotech Corp.|William  Lan|2F., No. 578, Ruiguang Rd., Neihu District||Taipei City||TW|11492|11492|06/26/2020|12/27/2020|SESE|NE|GWL|Summary|NE||Traditional|N||8-CH Electroencephalography Amplifier
K201754|Jiangsu JianYu Health Medical Co., Ltd.|Andy  Shu|No. 88 Longxi Avenue, Zhulin Town, Jintan District||Changzhou||CN|213241|213241|06/29/2020|12/30/2020|SESE|HO|FXX|Summary|SU||Traditional|N||JianYu Surgical Mask
K201755|SeaSpine Orthopedics Corporation|Aly  Alvarez|5770 Armada Drive||Carlsbad|CA|US|92008|92008|06/29/2020|12/15/2020|SESE|OR|MAX|Summary|OR||Traditional|N||WaveForm L Interbody System, WaveForm TO Interbody System, WaveForm TA Interbody System
K201758|Olympus Medical Systems Corp.|Toshiyuki  Nakajima|2951 Ishikawa-cho||Hachioji-Shi||JP|192-8507|192-8507|06/29/2020|01/21/2021|SESE|EN|EOQ|Summary|EN||Traditional|N||EVIS EXERA III Bronchovideoscope Olympus BF-XP190, EVIS EXERA III Bronchovideoscope Olympus BF-P190
K201776|Apollon co., Ltd.|Donghyuk  Shin|M-1804/3203, 32, Songdogwahak-ro, Yeonsu-gu||Incheon||KR|21984|21984|06/29/2020|12/30/2020|SESE|GU|EZL|Summary|GU||Traditional|N||Foley Balloon Catheter for Urology
K201778|Abbott Laboratories|Brian  Ma|400 College Road East||Princeton|NJ|US|08540|08540|06/30/2020|01/08/2021|SESE|IM|QAT|Summary|IM||Traditional|N||i-STAT TBI Plasma cartridge with the i-STAT Alinity System
K201781|Zavation Medical Products, LLC|Steve  Gordon|220 Lakeland Parkway||Flowood|MS|US|39232|39232|06/30/2020|12/28/2020|SESE|OR|MQV|Summary|OR||Traditional|N||Uni-FuZe-P Bone Putty
K201782|Carol Cole Company dba NuFACE|Danielle Barker Fernandes|1325 Sycamore Avenue, Suite A||Vista|CA|US|92081|92081|06/30/2020|01/22/2021|SESE|NE|NFO|Summary|NE||Traditional|N||NuFace Trinity Plus Device
K201800|NANORAY Co., Ltd.|Won Hyun Sung|#401, #402, #403, #408, #409, 76, Dongnae-ro, Dong-gu||Daegu||KR|41061|41061|06/30/2020|12/28/2020|SESE|RA|EHD|Summary|DE||Traditional|N||Portable Dental X-ray (NR-F350, CS 2400P, CS 2300P, R2 Port-X)
K201808|Apollo Endosurgery, Inc.|Natalie  Allen|1120 S. Capital of Texas Hwy||Austin|TX|US|78749|78749|07/01/2020|12/15/2020|SESE|GU|PKL|Summary|GU||Traditional|N||X-Tack Endoscopic HeliX Tacking System
K201836|Canon Medical Systems Corporation|Paul  Biggins|1385 Shimoishigami||Otawara-Shi||JP|324-8550|324-8550|07/02/2020|01/12/2021|SESE|RA|JAK|Summary|RA||Traditional|N||Aquilion Lightning (TSX-036A/7) V10.2 with AiCE-i
K201864|Jiangsu Yuyue Medical Equipment & Supply Co., Ltd.|Caixia  Yang|Yunyang Industrial Park, Danyang, Jiangsu, China||Danyang||CN|212300|212300|07/06/2020|12/07/2020|SESE|HO|FLL|Summary|HO||Traditional|N||YUWELL Infrared Thermometer
K201865|Biotronik, Inc.|Jon  Brumbaugh|6024 Jean Road||Lake Oswego|OR|US|97035|97035|07/06/2020|12/08/2020|SESE|CV|MXD|Summary|CV||Traditional|N||Biomonitor III, Biomonitor IIIm
K201872|Asset Medikal Tasarim AS.|Ebru  Sirali|Ikitelli OSB Mahallesi, 17. Cadde, No: 17||Istanbul||TR|34490|34490|07/07/2020|01/05/2021|SESE|HO|FPA|Statement|HO||Traditional|N||NeutrArt
K201873|Spark Biomedical, Inc.|Daniel  Powell|18208 Preston Road, Suite D9-531||Dallas|TX|US|75252|75252|07/07/2020|01/02/2021|SESE|NE|PZR|Summary|NE||Traditional|N||Sparrow Therapy System
K201893|Xiamen Probtain Medical Techology Co., LTD|MR./MRS.  Kangjianli|4th Floor, No.1 Building, No.6 Ji'an Road, Tong'an District||Xiamen||CN|361100|361100|07/08/2020|12/09/2020|SESE|HO|FXX|Summary|SU||Traditional|N||Disposable Surgical Mask
K201897|Richard Wolf Medical Instruments Corporation|Michael  Loiterman|353 Corporate Woods Parkway||Vernon Hills|IL|US|60061|60061|07/08/2020|01/15/2021|SESE|GU|FGB|Summary|GU||Traditional|N||Sensor-Ureterorenoscope 9 FR WL 600 MM (short RIWO D-URS), Adapter For Controller 5525
K201905|LimaCorporate S.p.A.|Giuseppe  Valenti|Via Nazionale 52||Villanova di San Daniele del Friuli||IT|33038|33038|07/09/2020|12/17/2020|SESE|OR|MBF|Summary|OR||Traditional|N||SMR 140° Reverse Humeral Body
K201910|Neurologic LLC|Sridevi  Sarma|6500 Tucker Avenue||McLean|VA|US|22101|22101|07/09/2020|12/22/2020|SESE|NE|OLX|Summary|NE||Traditional|N||EZTrack
K201919|Blue Sky Bio, LLC.|Sharon  Nichols|800 Liberty Drive||Libertyville|IL|US|60048|60048|07/10/2020|12/17/2020|SESE|DE|OAT|Summary|DE||Traditional|N||Blue Sky Bio TAD
K201922|Trophikos, LLC|Terri Jackson Wade|1212 Collier Rd NW||Atlanta|GA|US|30318|30318|07/10/2020|01/14/2021|SESE|OB|NUC|Summary|OB||Traditional|N||Trophikos Vaginal Moisturizer
K201930|Nanum Company Co., Ltd|Jeong Ung Jong|4th floor, 40, Siji-ro||Daegu||KR|42251|42251|07/10/2020|01/17/2021|SESE|SU|FMF|Summary|HO||Traditional|N||Nanum Syringe
K201940|Braces on Demand, Inc|Colin  Corey|422 South Broadway, Suite 223||Hicksville|NY|US|11801|11801|07/13/2020|12/03/2020|SESE|DE|DYW|Summary|DE||Traditional|N||Braces on Demand Bracket
K201977|Blue Spark Technologies Inc.|John  Gannon|806 Sharon Drive, Suite G||Westlake|OH|US|44145|44145|07/16/2020|12/03/2020|SESE|HO|FLL|Summary|HO||Traditional|N||TempTraq
K201980|Contec Medical Systems Co., Ltd.|Xueyong  Li|No.112 Qinhuang West Street, Economic &|Technical Development Zone,|Qinhuangdao||CN|066004|066004|07/16/2020|12/18/2020|SESE|HO|FLL|Summary|HO||Traditional|N||Infrared Thermometer
K201996|Ethicon Inc.|Joice  Pappan|Route 22 West, P.O. Box 151||Somerville|NJ|US|08876|08876|07/20/2020|12/21/2020|SESE|SU|GAM|Summary|SU||Traditional|N||Monocryl Plus Antibacterial Suture
K202005|Novo Nordisk Inc.|Hiral Palkhiwala Shah|P.O Box 846||Plainsboro|NJ|US|08536|08536|07/21/2020|12/19/2020|SESE|HO|FMI|Summary|HO||Traditional|N||NovoFine Plus 32G Tip x 4 mm
K202006|ArthroCare Corporation|Jean  Asquith|7000 West William Cannon Drive, Building One||Austin|TX|US|78749|78749|07/21/2020|12/18/2020|SESE|SU|GEI|Summary|SU||Traditional|N||ENT Plasma Wands, Turbinator Wand, Werewolf Irrigation Tube Set, Werewolf ENT Adapter, Werewolf Coblation System
K202017|XR LLC|Louie  Goryoka|5251 Pipeline Lane||Huntington Beach|CA|US|92649|92649|07/21/2020|01/08/2021|SESE|OB|NUC|Summary|OB||Traditional|N||Passion Natural Water Based Lubricant
K202019|Paragon 28, Inc.|Haylie  Hertz|14445 Grasslands Dr.||Englewood|CO|US|80112|80112|07/21/2020|01/14/2021|SESE|OR|HSN|Summary|OR||Traditional|N||Maven Patient-Specific Instrumentation
K202026|Blue Sky Bio, LLC|Michele  Kupcso|800 Liberty Drive||Libertyville|IL|US|60048|60048|07/22/2020|12/18/2020|SESE|DE|NHA|Summary|DE||Traditional|N||Blue Sky Bio CAD-CAM Abutments
K202028|Aesthetic Technology Ltd|Dale  Needham|Unit 211 Europa Blvd||Warrington||GB|WA5 7TN|WA5 7TN|07/22/2020|12/16/2020|SESE|SU|ILY|Summary|PM||Traditional|N||dermalux Flex MD
K202029|Beijing Biosis Healing Biological Technology Co., Ltd|Ting  Jiang|No.6 plant west, Valley No.1 Bio-medicine Industry Park,|Daxing District|Beijing||CN|102600|102600|07/22/2020|12/16/2020|SESE|HO|FXX|Summary|SU||Traditional|N||Medical Surgical Mask
K202034|Carlsmed, Inc.|Mike  Cordonnier|4250 Executive Sq. Ste. 200||La Jolla|CA|US|92037|92037|07/23/2020|12/03/2020|SESE|OR|MAX|Summary|OR||Traditional|N||aprevo Intervertebral Body Fusion Device
K202038|VitreQ B.V.|Christian  Neele|Segglant-Noord 2||Vierpolders||NL|3237MG|3237MG|07/23/2020|12/30/2020|SESE|OP|HPS|Summary|OP||Traditional|N||CryoTreQ
K202061|Jiangsu Province Jianerkang Medical Dressing Co., Ltd|Hongfang  Tang|No.1 Jianerkang Road, Zhixi Industry Concentration Area,|Zhixi Town, Jintan|Changzhou||CN|213251|213251|07/27/2020|12/23/2020|SESE|HO|FXX|Summary|SU||Traditional|N||Medical Face mask
K202069|Base4 Group, Inc.|Jon  Filipski|4393 Sunbelt Drive||Addison|TX|US|75001|75001|07/27/2020|12/01/2020|SESE|HO|FXX|Summary|SU||Abbreviated|N||BASE4 Disposable Medical Mask
K202095|CreoDent Prosthetics, Ltd.|Calvin  Shim|29 West 30th Street, 11th Floor||New York|NY|US|10001|10001|07/29/2020|12/16/2020|SESE|DE|NHA|Summary|DE||Traditional|N||CreoDent Solidex Customized Abutment and Screw
K202104|Steris Corporation|Carroll  Martin|5976 Heisley Road||Mentor|OH|US|44060|44060|07/29/2020|01/14/2021|SESE|GU|ODC|Summary|GU||Traditional|N||BioGuard EUS Air/Water and Suction Valves
K202107|Guangdong Kingfa Sci.&Tech.Co., Ltd.|Yu  Xiaoge|28 Delong Avenue, Shijiao Town, Qingcheng District||Qingyuan||CN|511500|511500|07/29/2020|01/15/2021|SESE|HO|FXX|Summary|SU||Traditional|N||Medical Protective Mask
K202141|Argon Medical Devices, Inc.|Amy  Clendening-Wheeler|1445 Flat Creek Road||Athens|TX|US|75751|75751|07/31/2020|01/15/2021|SESE|CV|DYB|Summary|CV||Traditional|N||Scorpion Stylet Portal Vein Access Set, Scorpion Needle Portal Vein Access Set
K202159|Sublimed|Corinne  Bulteau|137 Rue De Mayoussard||Moirans||FR|38430|38430|08/03/2020|12/22/2020|SESE|NE|GZJ|Summary|NE||Traditional|N||actiTENS
K202173|Shenzhen AOJ Medical Technology Co., Ltd.|Wendy  Lin|601, 6th floor, B2 Building, An'le Industrial Park|#172 Hangcheng Avenue|Shenzhen||CN|518126|518126|08/03/2020|12/07/2020|SESE|AN|DQA|Summary|CV||Traditional|N||Pulse Oximeter
K202189|GE Medical Systems Information Technologies, Inc.|Camille  Vidal|9900 W Innovation Dr.||Wauwatosa|WI|US|53226|53226|08/04/2020|12/08/2020|SESE|CV|DQK|Summary|CV||Traditional|N||Graffiti
K202211|Guangdong Kaidi Garments Co.,Ltd|MR./MRS.  Vicky|Shenxiyang Industrial Zone, Fengshan Street, Heping Town||Shantou||CN|515000|515000|08/06/2020|12/22/2020|SESE|HO|FXX|Summary|SU||Traditional|N||Disposable Medical Surgical Face Masks
K202222|Irrimax Corporation|Christy  Coleman|1665 Lakes Parkway - Suite 102||Lawrenceville|GA|US|30043|30043|08/06/2020|12/14/2020|SESE|SU|FQH|Summary|HO||Traditional|N||Irrisept Wound Debridement and Cleansing System
K202226|Keystone Heart, Ltd.|Jaime  Sarabia|15 Halamish Street, PO Box 3170||Caesaria||IL|3088900|3088900|08/07/2020|12/15/2020|SESE|CV|DYB|Summary|CV||Traditional|N||Lim Precision Steerable TS, Steerable Sheath, Dilator
K202229|AI Metrics, LLC|Andrew D. Smith|432 Renaissance Dr.||Hoover|AL|US|35226|35226|08/07/2020|12/22/2020|SESE|RA|LLZ|Summary|RA||Traditional|N||AI Metrics
K202230|Nexxt Spine LLC|Andy  Elsbury|14425 Bergen Blvd, Suite B||Noblesville|IN|US|46060|46060|08/07/2020|12/15/2020|SESE|OR|OVD|Summary|OR||Traditional|N||NEXXT MATRIXX Stand Alone ALIF System
K202231|OrbusNeich Medical (Shenzhen) Co., Ltd.|Daniel  Zhang|No.1 Jinkui Road, Futian Free Trade Zone||Shenzhen||CN|518038|518038|08/07/2020|12/10/2020|SESE|CV|LIT|Summary|CV||Traditional|N||JADE
K202237|Hangzhou AGS MedTech Co., Ltd.|Yanping  Fu|Building 5, Building 6, No.597 Kangxin Road Yuhang District||Hangzhou||CN|311106|311106|08/07/2020|12/23/2020|SESE|GU|ODC|Summary|GU||Traditional|N||Locking device
K202247|Viora Ltd.|Simona F Krant|6 Hagavish Street||Netanya||IL|4250706|4250706|08/10/2020|12/09/2020|SESE|SU|PBX|Summary|SU||Traditional|N||V30 system, V20 system, V10 system, V-VR Hand piece
K202248|DePuy Ireland UC|Erin  Combs|Loughbeg Ringaskiddy||Co. Cork||IE|||08/10/2020|12/28/2020|SESE|OR|JWH|Summary|OR||Traditional|N||Attune Revision Sleeve LPS Femoral Adaptors
K202264|Neocis Inc.|Thomas E. Claiborne|2800 Biscayne Blvd Suite 600||Miami|FL|US|33137|33137|08/11/2020|12/04/2020|SESE|DE|PLV|Summary|DE||Traditional|N||Neocis Guidance System (NGS) with Yomi Plan v2.0
K202267|Isoray Medical, Inc.|Leslie  White|350 Hills St, Suite 106||Richland|WA|US|99354|99354|08/11/2020|12/31/2020|SESE|RA|KXK|Summary|RA||Traditional|N||Sirius MRI Markers, Cs-131 Preloaded Strands with Sirius MRI Markers in 18 Gauge Needles
K202268|CrossRoads Extremity Systems, LLC|Kim  Strohkirch|6055 Primacy Pkwy, Suite 140||Memphis|TN|US|38119|38119|08/11/2020|12/30/2020|SESE|HO|KCT|Summary|HO||Traditional|N||CrossRoads Tray System
K202270|K1 Medical LLC|Jospeh  Azary|56 Newton Road||Woodbridge|CT|US|06525|06525|08/11/2020|12/02/2020|SESE|HO|KCT|Summary|HO||Traditional|N||EZ-TRAX Stryker Mako Total Knee with Triathlon Containment Device
K202275|Corindus, Inc.|Dana  Hartlein|309 Waverley Oaks Road, Suite 105||Waltham|MA|US|02452|02452|08/11/2020|12/11/2020|SESE|CV|DXX|Summary|CV||Traditional|N||CorPath GRX System
K202278|Bomei Co, Ltd.|Steven  Pan|4F., No.1492-2, Chunrih Rd., Taoyuan Dist.||Taoyuan City||TW|33051|33051|08/11/2020|01/08/2021|SESE|DE|OAT|Summary|DE||Special|N||OBS Anchorage Screw, Biokey Anchorage Screw
K202289|Stryker GmbH|Jonathan  Schell|325 Corporate Drive||Mahwah|NJ|US|07430|07430|08/12/2020|12/16/2020|SESE|OR|KWS|Summary|OR||Traditional|N||ReUnion Reversible Fracture System (RFX), ReUnion Reverse Shoulder Arthroplasty System (RSA), ReUnion Total Shoulder Arthroplasty System (TSA)
K202291|Yunyi (Beijing) Medical Device Co., Ltd.|Xiaowei  Liu|Floor 1-4, Building 4, No. 9 Tianfu Street,|Biomedical Base, Daxing District|Beijing||CN|102600|102600|08/12/2020|01/08/2021|SESE|OR|MBI|Summary|OR||Traditional|N||Button Loop
K202298|Spinal Elements, Inc.|Julie  Lamothe|3115 Melrose Dr. Suite 200||Carlsbad|CA|US|92010|92010|08/13/2020|12/22/2020|SESE|OR|MAX|Summary|OR||Traditional|N||Lucent XP, Lucent XP Curved
K202314|Han Zhaoqing Sporting Goods Company Limited|Zhang  Ming|NO.2-1, Kang tai Street, High-tech zone, Zhaoqing City,|Guangdong ,China|Zhaoqing||CN|526238|526238|08/17/2020|01/13/2021|SESE|HO|FXX|Summary|SU||Traditional|N||Procedure face mask (Model: KKF-2A)
K202320|Brainlab AG|Cunico  Chiara|Olof-Palme-Str. 9||Munich||DE|80809|80809|08/17/2020|12/23/2020|SESE|OR|OLO|Summary|NE||Traditional|N||CIRQ Robotic Alignment Module, Cirq, Cirq Robotic Alignment Module Spinal, Cirq Robotic Alignment Cranial and Spine, CIRQ Robotic Alignment Cranial and Spine System
K202322|Sim&Cure|Caroline  Oziel|95 rue Pierre Flourens Batiment H||Montpellier||FR|34090|34090|08/17/2020|12/31/2020|SESE|NE|PZO|Summary|RA||Traditional|N||Sim&Size
K202324|Shenzhen BSX Technology Electronics Co., Ltd.|Fang  Kai|Rm301.3F 8th Building, LiHao Industrial Area,|No.78 AiNan Road, Longgang|Shenzhen||CN|518116|518116|08/17/2020|12/14/2020|SESE|AN|DQA|Summary|CV||Traditional|N||Fingertip Pulse Oximeter
K202330|Abiomed Inc.|J. Kenneth Ryder|22 Cherry Hill Drive||Danvers|MA|US|01923|01923|08/17/2020|12/07/2020|SESE|CV|DYB|Summary|CV||Traditional|N||Impella XR Sheath Set
K202333|Micro-Tech (Nanjing) Co., Ltd.|Sally  He|No.10 Gaoke Third Road||Nanjing||CN|210032|210032|08/17/2020|01/14/2021|SESE|GU|PKL|Summary|GU||Traditional|N||Lockado Repositionable Hemostasis Clip
K202334|Bioserenity SAS|Julien  Dupont|ICM-iPEPS, 47 Boulevard de l'Hopital||Paris||FR|75013|75013|08/17/2020|12/10/2020|SESE|NE|GWQ|Summary|NE||Traditional|N||Neuronaute
K202336|Edan Instruments, Inc.|Alice  Yang|#15 Jinhui Road, Jinsha Community,|Kengzi Sub-District Pingshan District|Shenzhen||CN|518122|518122|08/17/2020|01/23/2021|SESE|CV|MHX|Summary|CV||Traditional|N||Patient Monitor
K202337|Hi-Dow International Inc.|Eric  Chen|2555 Metro Blvd||Maryland Heights|MO|US|63043|63043|08/17/2020|12/15/2020|SESE|PM|ILX|Statement|PM||Traditional|N||Pulsed electromagnetic field wrap
K202345|Inari Medical|Eben  Gordon|9 Parker, Suite 100||Irvine|CA|US|92618|92618|08/18/2020|12/18/2020|SESE|CV|QEW|Summary|CV||Traditional|N||FlowTriever Retrieval/Aspiration System
K202348|NuVasive Specialized Orthopedics, Inc.|Miriam  Cervantes|101 Enterprise, Suite 100||Aliso Viejo|CA|US|92656|92656|08/18/2020|12/22/2020|SESE|OR|HSB|Summary|OR||Traditional|N||External Remote Controller ERC 4P
